2023-02-05 01:52:10 INFO  WebdriverEvents:96 - Elelement Found By.id: downloadButton
2023-02-05 01:52:10 INFO  WebdriverEvents:102 - Clicking on [[EdgeDriver: msedge on WINDOWS (8ecb67544f184cc71d38b64dc39012f5)] -> id: downloadButton]
2023-02-05 01:52:10 INFO  WebdriverEvents:108 - Clicked on [[EdgeDriver: msedge on WINDOWS (8ecb67544f184cc71d38b64dc39012f5)] -> id: downloadButton]
2023-02-05 01:53:56 INFO  WebdriverEvents:43 - navigating to https://demoqa.com/
2023-02-05 01:53:58 INFO  WebdriverEvents:49 - Navigated to https://demoqa.com/
2023-02-05 01:53:58 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:53:58 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:53:58 INFO  WebdriverEvents:102 - Clicking on [[EdgeDriver: msedge on WINDOWS (7cec380a00e60cc42d566211a2390324)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:53:58 INFO  WebdriverEvents:108 - Clicked on [[EdgeDriver: msedge on WINDOWS (7cec380a00e60cc42d566211a2390324)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:53:58 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:53:58 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:53:58 INFO  WebdriverEvents:90 - Finding element By.id: downloadButton
2023-02-05 01:53:58 INFO  WebdriverEvents:96 - Elelement Found By.id: downloadButton
2023-02-05 01:53:58 INFO  WebdriverEvents:102 - Clicking on [[EdgeDriver: msedge on WINDOWS (7cec380a00e60cc42d566211a2390324)] -> id: downloadButton]
